policy_id,source_url,source_label_original,corrected_province,correction_status,correction_reason,evidence
manual_srdi_17c4e87b8ef8cb4f,https://creditbj.jxj.beijing.gov.cn/credit-portal/article/detail/21165,北京市,湖北省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 湖北省: 湖北省知识产权局关于助力稳经济促增长的通知
manual_srdi_947d656f3bdcf1ae,https://creditbj.jxj.beijing.gov.cn/credit-portal/article/detail/20756,北京市,上海市,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 上海市: 上海市人民政府办公厅关于印发《上海市加强集成创新持续优化营商环境行动方案》的通知
manual_srdi_b57fc2e0107fe009,https://creditbj.jxj.beijing.gov.cn/credit-portal/article/detail/13758,北京市,安徽省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 安徽省: 安徽省人民政府办公厅关于印发创优营商环境对标提升举措（2022版）的通知
manual_srdi_e88357971267f7e2,https://creditbj.jxj.beijing.gov.cn/credit-portal/article/detail/9129,北京市,青海省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 青海省: 青海省人民政府关于进一步提高上市公司质量的实施意见
manual_srdi_2026071b8fb79423,https://creditbj.jxj.beijing.gov.cn/credit-portal/article/detail/8423,北京市,陕西省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 陕西省: 陕西省人民政府办公厅关于印发进一步做好稳外贸稳外资工作配套措施的通知
manual_srdi_00e5749a015a1aa0,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202407/t20240710_9606856.shtml,山西省,河南省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 河南省: 河南印发《推动科技金融增量扩面降价提质工作方案》
manual_srdi_3e4af7f9903c33cb,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202402/t20240219_9503696.shtml,山西省,重庆市,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 重庆市: 重庆印发《重庆市推动优质中小企业梯度培育改革工作方案》
manual_srdi_86a72fec30a99444,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202401/t20240103_9465392.shtml,山西省,湖北省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 湖北省: 湖北省数字化赋能中小企业转型行动方案（2023—2025年）出炉
manual_srdi_acc1d9c4e540e391,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202311/t20231130_9436106.shtml,山西省,重庆市,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 重庆市: 重庆印发《中小型硬科技企业更快更高质量发展工作方案（2023—2027年）》
manual_srdi_a18b8ed428890d3b,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202310/t20231027_9415095.shtml,山西省,甘肃省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 甘肃省: 甘肃省发展和改革委员会等八部门关于印发《关于进一步促进民营经济发展的近期若干措施》的通知
manual_srdi_1f8ad90c654137fa,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202308/t20230803_9054182.shtml,山西省,重庆市,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 重庆市: 重庆市先进制造业高质量发展技改专项贷实施方案公布
manual_srdi_fceacc49aaee3ca9,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202203/t20220330_5651318.shtml,山西省,山东省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 山东省: 山东省促进民营经济高质量发展2022年十大专项行动方案
manual_srdi_e71f590056c72f94,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202201/t20220119_4548235.shtml,山西省,山东省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 山东省: 山东省人民政府办公厅关于切实加大对中小企业纾困帮扶力度的通知
manual_srdi_818b8c4c4c06d8d5,https://myj.shanxi.gov.cn/jdhy/zchz/dfxfg/202111/t20211108_3052750.shtml,山西省,湖北省,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 湖北省: 湖北省人民政府关于印发纾解全省中小微企业融资难融资贵问题若干措施的通知
manual_srdi_7ebbd1d5cf87ee11,https://www.cq.gov.cn/ykbzt/yhyshj/zcjj/zz/202201/t20220129_10363752.html,湖北省,重庆市,corrected,source_site_repost_policy_from_another_jurisdiction,title starts with 重庆市: 重庆市人民政府关于印发重庆市金融改革发展十四五规划（2021—2025年）的通知
